FIPS,Tweets.PA,Tweets.All,Inactivity.Cases,Inactivity.Percent,Inactivity.Ageadjusted,Geography,Gini_Index.Estimate,Gini_Index.Margin_of_Error
10001,244,18025,34487,27.8,27.1,"Kent County, Delaware",0.4201,0.0088
10003,805,63204,91924,22.4,22,"New Castle County, Delaware",0.4545,0.0065
10005,493,23623,41310,25.5,24,"Sussex County, Delaware",0.4384,0.0082
11001,7347,596256,86126,16.7,17.4,"District of Columbia, District of Columbia",0.5334,0.0047
12001,539,33272,37343,19.2,19.4,"Alachua County, Florida",0.5161,0.0095
12003,4,798,7024,35.7,35.1,"Baker County, Florida",0.43,0.0334
12005,434,34254,36561,27.4,26.5,"Bay County, Florida",0.4456,0.0091
12007,9,1352,6882,32.8,32,"Bradford County, Florida",0.456,0.0241
12009,1040,55533,107365,24.7,23.1,"Brevard County, Florida",0.4528,0.0062
12011,7560,320728,317970,22.7,22,"Broward County, Florida",0.4807,0.0033
12013,3,226,3736,33.1,32.1,"Calhoun County, Florida",0.4167,0.0296
12015,213,13440,31062,22.1,20.1,"Charlotte County, Florida",0.4525,0.0135
12017,134,6885,33472,28.9,26.6,"Citrus County, Florida",0.4555,0.0162
12019,465,11790,34031,23.8,22.9,"Clay County, Florida",0.4115,0.0114
12021,965,44600,49983,18.5,17.6,"Collier County, Florida",0.5298,0.0089
12023,26,4507,16218,31.6,30.4,"Columbia County, Florida",0.4605,0.0205
12027,5,900,8030,30.4,29.6,"DeSoto County, Florida",0.4287,0.0244
12029,1,325,4115,32.6,30.9,"Dixie County, Florida",0.4583,0.0462
12031,3146,189897,160031,24.2,24,"Duval County, Florida",0.4719,0.0054
12033,517,28745,56597,24.5,24,"Escambia County, Florida",0.435,0.0084
12035,101,8007,17587,22.1,20.6,"Flagler County, Florida",0.4306,0.0141
12037,81,1497,2638,27.7,26.8,"Franklin County, Florida",0.4886,0.0341
12039,20,1988,10953,31.5,30.5,"Gadsden County, Florida",0.4458,0.0161
12041,15,545,3882,30.3,29.2,"Gilchrist County, Florida",0.4695,0.053
12043,4,664,3583,33.5,32.1,"Glades County, Florida",0.4471,0.031
12045,10,1318,3766,28.7,27.8,"Gulf County, Florida",0.4463,0.0301
12047,11,872,3557,31.5,30.8,"Hamilton County, Florida",0.4704,0.0401
12049,24,1579,6483,33.7,33.3,"Hardee County, Florida",0.4702,0.0358
12051,8,1310,7841,30,29.7,"Hendry County, Florida",0.487,0.0368
12053,166,8790,36587,26.6,24.5,"Hernando County, Florida",0.4236,0.0093
12055,98,6197,22416,28.5,26.2,"Highlands County, Florida",0.4636,0.0309
12057,5296,230729,210955,22,21.7,"Hillsborough County, Florida",0.4804,0.0036
12059,1,408,5412,35.5,34.4,"Holmes County, Florida",0.4492,0.0235
12061,247,12937,28564,25.2,23.4,"Indian River County, Florida",0.5308,0.0183
12063,13,2245,13197,34.1,33.1,"Jackson County, Florida",0.4503,0.018
12065,9,363,3054,26.6,25.3,"Jefferson County, Florida",0.4545,0.0271
12067,2,121,2231,32.8,32.7,"Lafayette County, Florida",0.5006,0.0849
12069,622,22914,61182,25.4,23.8,"Lake County, Florida",0.4292,0.0085
12071,1139,93967,120296,23,21.9,"Lee County, Florida",0.4768,0.0053
12073,525,40544,37643,17.8,18.1,"Leon County, Florida",0.4848,0.0076
12075,32,1263,9217,29.8,27.9,"Levy County, Florida",0.4624,0.0279
12077,6,203,1929,29.6,29.5,"Liberty County, Florida",0.4455,0.0439
12079,2,1379,4563,31.4,30.3,"Madison County, Florida",0.4883,0.0269
12081,773,33956,60515,22.6,21.5,"Manatee County, Florida",0.4668,0.0075
12083,421,22809,75682,28.4,26.8,"Marion County, Florida",0.4409,0.0079
12085,321,14895,26160,21.3,19.7,"Martin County, Florida",0.517,0.0118
12086,18264,705395,422522,20.8,20.3,"Miami-Dade County, Florida",0.5264,0.0036
12087,1084,29277,13265,20.9,19.7,"Monroe County, Florida",0.5003,0.0165
12089,200,8025,13413,23,21.8,"Nassau County, Florida",0.4557,0.0241
12091,533,26843,34141,23.3,22.8,"Okaloosa County, Florida",0.4279,0.0078
12093,31,2935,8622,29.6,28.8,"Okeechobee County, Florida",0.4512,0.0234
12095,8205,500186,208477,22.9,23.1,"Orange County, Florida",0.4813,0.0055
12097,987,48366,54540,25.3,25.1,"Osceola County, Florida",0.4304,0.0099
12099,4476,177081,239182,22.3,21.1,"Palm Beach County, Florida",0.5169,0.0043
