CBSA.Code,CBSA.Title,CBSA.Geography,Gini_Index.Estimate,Gini_Index.MOE,Tweets.PA,Tweets.All,PA.Active,PA.Inactive,PA.Refused,PA.Missing
31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area",0.4965,0.0013,79420,2949641,5706,1316,0,0
16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.482,0.0015,22341,1441940,44282,14588,42,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.4458,0.0018,7926,524472,114656,21984,112,0
26420,"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX Metro Area",0.4866,0.0019,17580,1143204,12015,4527,18,0
38060,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area",0.4656,0.0021,14755,673583,8116,2560,6,0
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",0.472,0.0021,20881,1105796,51997,18734,29,0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.5108,0.0022,30300,1203204,4836,2094,3,0
17460,"Cleveland-Elyria, OH","Cleveland-Elyria, OH Metro Area",0.4811,0.0023,4551,347520,3930,1235,10,0
40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area",0.4465,0.0024,10595,451691,1728,506,2,0
19740,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO Metro Area",0.4571,0.0024,8962,537695,55610,10300,20,0
38300,"Pittsburgh, PA","Pittsburgh, PA Metro Area",0.4682,0.0025,5005,368999,8624,2275,7,0
12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",0.456,0.0026,7019,547063,35567,11438,7,0
18140,"Columbus, OH","Columbus, OH Metro Area",0.4599,0.0026,6821,396780,14420,4680,10,0
45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",0.4764,0.0026,9173,432552,7188,3036,4,0
38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.4516,0.0027,7973,581891,19306,3353,0,0
